ecosystem,habitat,notes,trophic_position,organ,species,genus,species1,phylum,class,order,family,original_study,name_of_data_extractor,study_number,date_data_extracted,data_from,reference,reference_notes,source,common_name,dha,epa,ala,fa_id
Terrestrial,NA,NA,Producer,NA,Tortella_tortuousa,Tortella,tortuousa,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,1.8,22.6,3966
Terrestrial,NA,NA,Producer,NA,Tortella_tortuousa,Tortella,tortuousa,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,1.5,17.8,3967
Terrestrial,NA,NA,Producer,NA,Tortella_tortuousa,Tortella,tortuousa,NA,NA,NA,NA,Al-Hassan et al 1991 (Bryologist),Lily,5,NA,Twining et al 2016,"Al-Hasan, R. H., El-Saadawi, W. E., Ali, A. M., & Radwan, S. S. (1989). Arachidonic and eicosapentaenoic acids in lipids of Bryum bicolor dicks. Effects of controlled temperature and illumination. Bryologist, 178-182.",,NA,Moss,0,1.9,21,3968
Terrestrial,NA,Terrestrial plants,Producer,NA,Citrullus_colocynthis,Citrullus,colocynthis,NA,NA,NA,NA,Al-Khalifa et al 1996,Lily,2,24_06_20,Columbo et al 2017,"Al-Khalifa, A. S. (1996). Physicochemical characteristics, fatty acid composition, and lipoxygenase activity of crude pumpkin and melon seed oils. Journal of Agricultural and Food Chemistry, 44(4), 964-966.",,NA,Bitter Apple,NA,NA,NA,3548
Terrestrial,NA,Terrestrial plants,Producer,NA,Citrullus_lanatus,Citrullus,lanatus,NA,NA,NA,NA,Al-Khalifa et al 1996,Lily,2,24_06_20,Columbo et al 2017,"Al-Khalifa, A. S. (1996). Physicochemical characteristics, fatty acid composition, and lipoxygenase activity of crude pumpkin and melon seed oils. Journal of Agricultural and Food Chemistry, 44(4), 964-966.",,NA,Watermellon (Iranian),NA,NA,0.1,3549
Terrestrial,NA,Terrestrial plants,Producer,NA,Citrullus_lanatus,Citrullus,lanatus,NA,NA,NA,NA,Al-Khalifa et al 1996,Lily,2,24_06_20,Columbo et al 2017,"Al-Khalifa, A. S. (1996). Physicochemical characteristics, fatty acid composition, and lipoxygenase activity of crude pumpkin and melon seed oils. Journal of Agricultural and Food Chemistry, 44(4), 964-966.",,NA,Watermellon (Egyptian),NA,NA,0.1,3550
Terrestrial,NA,Terrestrial plants,Producer,NA,Citrullus_lanatus,Citrullus,lanatus,NA,NA,NA,NA,Al-Khalifa et al 1996,Lily,2,24_06_20,Columbo et al 2017,"Al-Khalifa, A. S. (1996). Physicochemical characteristics, fatty acid composition, and lipoxygenase activity of crude pumpkin and melon seed oils. Journal of Agricultural and Food Chemistry, 44(4), 964-966.",,NA,Watermellon (Chinese),NA,NA,0.1,3551
Terrestrial,NA,NA,Producer,NA,Silene_vulgaris,Silene,vulgaris,NA,NA,NA,Caryopllyllaceae,AlarcÃ_n et al. 2006,Miguel,16,27_11_2019,"Guil-Guerrero J., Torija-Isasa M. (2016) Fatty Acid Profiles of Mediterranean Wild Edible Plants. In: SÃ¡nchez-Mata M., TardÃ_o J. (eds) Mediterranean Wild Edible Plants. Springer, New York, NY","Alarcón, R., Ortiz, L. T., & García, P. (2006). Nutrient and fatty acid composition of wild edible bladder campion populations [Silene vulgaris (Moench.) Garcke]. International journal of food science & technology, 41(10), 1239-1242.",,NA,Bladder campion,0,0,54.5,4202
Marine,NA,Macrophytes,Producer,NA,Hormosira__banksii,Hormosira,,NA,NA,NA,NA,Alfaro et al 2006,Lily,2,24_06_20,Columbo et al 2017,"Alfaro, A. C., Thomas, F., Sergent, L., & Duxbury, M. (2006). Identification of trophic interactions within an estuarine food web (northern New Zealand) using fatty acid biomarkers and stable isotopes. Estuarine, Coastal and Shelf Science, 70(1-2), 271-286.",,NA,Brown algae,0,2.6,3,2229
Marine,NA,Macrophytes,Producer,NA,Zostera__capricorni,Zostera,,NA,NA,NA,NA,Alfaro et al 2006,Lily,2,24_06_20,Columbo et al 2017,"Alfaro, A. C., Thomas, F., Sergent, L., & Duxbury, M. (2006). Identification of trophic interactions within an estuarine food web (northern New Zealand) using fatty acid biomarkers and stable isotopes. Estuarine, Coastal and Shelf Science, 70(1-2), 271-286.",,NA,Eelgrass,0,0,27.4,2230
Terrestrial,NA,Terrestrial plants,Producer,NA,Salvia__columbariae,Salvia,,NA,NA,NA,NA,Ayerza and Coates 2007,Lily,2,24_06_20,Columbo et al 2017,"Ayerza Jr, R., & Coates, W. (2007). Seed yield, oil content and fatty acid composition of three botanical sources of __3 fatty acid planted in the Yungas ecosystem of tropical Argentina. Tropical Science, 47(4), 183-187.",,NA,Golden chia,NA,NA,64,3552
Terrestrial,NA,Terrestrial plants,Producer,NA,Salvia__hispanica,Salvia,,NA,NA,NA,NA,Ayerza and Coates 2007,Lily,2,24_06_20,Columbo et al 2017,"Ayerza Jr, R., & Coates, W. (2007). Seed yield, oil content and fatty acid composition of three botanical sources of __3 fatty acid planted in the Yungas ecosystem of tropical Argentina. Tropical Science, 47(4), 183-187.",,NA,Chia,NA,NA,54.8,3553
Terrestrial,NA,Terrestrial plants,Producer,NA,Satureja__montana,Satureja,,NA,NA,NA,NA,Ayerza and Coates 2007,Lily,2,24_06_20,Columbo et al 2017,"Ayerza Jr, R., & Coates, W. (2007). Seed yield, oil content and fatty acid composition of three botanical sources of __3 fatty acid planted in the Yungas ecosystem of tropical Argentina. Tropical Science, 47(4), 183-187.",,NA,Winter savory,NA,NA,57.5,3554
Terrestrial,NA,NA,Producer,NA,Arbutus_unedo,Arbutus,unedo,NA,NA,NA,Ericaceae,Barros et al. 2010,Miguel,16,27_11_2019,"Guil-Guerrero J., Torija-Isasa M. (2016) Fatty Acid Profiles of Mediterranean Wild Edible Plants. In: SÃ¡nchez-Mata M., TardÃ_o J. (eds) Mediterranean Wild Edible Plants. Springer, New York, NY","Barros, L., Carvalho, A. M., Morais, J. S., & Ferreira, I. C. (2010). Strawberry-tree, blackthorn and rose fruits: Detailed characterisation in nutrients and phytochemicals with antioxidant properties. Food chemistry, 120(1), 247-254.",,NA,Strawberry tree,0,0,36.5,4203
Terrestrial,NA,NA,Producer,NA,Prunus_spinosa,Prunus,spinosa,NA,NA,NA,Rosaceae,Barros et al. 2010,Miguel,16,27_11_2019,"Guil-Guerrero J., Torija-Isasa M. (2016) Fatty Acid Profiles of Mediterranean Wild Edible Plants. In: SÃ¡nchez-Mata M., TardÃ_o J. (eds) Mediterranean Wild Edible Plants. Springer, New York, NY","Barros, L., Carvalho, A. M., Morais, J. S., & Ferreira, I. C. (2010). Strawberry-tree, blackthorn and rose fruits: Detailed characterisation in nutrients and phytochemicals with antioxidant properties. Food chemistry, 120(1), 247-254.",,NA,Blackthorn,0,0,2.8,4204
Terrestrial,NA,NA,Producer,NA,Rosa_canina,Rosa,canina,NA,NA,NA,Rosaceae,Barros et al. 2010,Miguel,16,27_11_2019,"Guil-Guerrero J., Torija-Isasa M. (2016) Fatty Acid Profiles of Mediterranean Wild Edible Plants. In: SÃ¡nchez-Mata M., TardÃ_o J. (eds) Mediterranean Wild Edible Plants. Springer, New York, NY","Barros, L., Carvalho, A. M., Morais, J. S., & Ferreira, I. C. (2010). Strawberry-tree, blackthorn and rose fruits: Detailed characterisation in nutrients and phytochemicals with antioxidant properties. Food chemistry, 120(1), 247-254.",,NA,Rose hips,0,0,26.3,4205
Terrestrial,NA,Terrestrial plants,Producer,NA,Arabidopsis__thaliana,Arabidopsis,,NA,NA,NA,NA,Bender et al 2000,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Arabidopsis,NA,NA,48.8,3555
Terrestrial,NA,Terrestrial plants,Producer,NA,Arabidopsis__thaliana,Arabidopsis,,NA,NA,NA,NA,Bender et al 2000,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Arabidopsis,NA,NA,51,3556
Terrestrial,NA,Terrestrial plants,Producer,NA,Arabidopsis__thaliana,Arabidopsis,,NA,NA,NA,NA,Bender et al 2000,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Arabidopsis,NA,NA,54.4,3557
Terrestrial,NA,Terrestrial plants,Producer,NA,Arabidopsis__thaliana,Arabidopsis,,NA,NA,NA,NA,Bender et al 2000,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Arabidopsis,NA,NA,28.8,3558
Terrestrial,NA,Terrestrial plants,Producer,NA,Arabidopsis__thaliana,Arabidopsis,,NA,NA,NA,NA,Bender et al 2000,Lily,2,24_06_20,Columbo et al 2017,cf,,NA,Arabidopsis,NA,NA,36.9,3559
Terrestrial,NA,NA,Producer,seeds,Brassica_napus,Brassica,napus,NA,NA,NA,NA,"Beyzi et al., 2019",Nemiah Ladd,17,NA,NA,"Beyzi, E., Gunes, A., Beyzi, S. B., & Konca, Y. (2019). Changes in fatty acid and mineral composition of rapeseed (Brassica napus ssp. oleifera L.) oil with seed sizes. Industrial Crops and Products, 129, 10-14.",,NA,Rapeseed,0.65,0.23,9.01,4239
Terrestrial,NA,NA,Producer,seeds,Brassica_napus,Brassica,napus,NA,NA,NA,NA,"Beyzi et al., 2019",Nemiah Ladd,17,NA,NA,"Beyzi, E., Gunes, A., Beyzi, S. B., & Konca, Y. (2019). Changes in fatty acid and mineral composition of rapeseed (Brassica napus ssp. oleifera L.) oil with seed sizes. Industrial Crops and Products, 129, 10-14.",,NA,Rapeseed,0.67,0.27,8.74,4240
Terrestrial,NA,NA,Producer,seeds,Brassica_napus,Brassica,napus,NA,NA,NA,NA,"Beyzi et al., 2019",Nemiah Ladd,17,NA,NA,"Beyzi, E., Gunes, A., Beyzi, S. B., & Konca, Y. (2019). Changes in fatty acid and mineral composition of rapeseed (Brassica napus ssp. oleifera L.) oil with seed sizes. Industrial Crops and Products, 129, 10-14.",,NA,Rapeseed,0.73,0.23,9.56,4241
Terrestrial,NA,NA,Producer,seeds,Brassica_napus,Brassica,napus,NA,NA,NA,NA,"Beyzi et al., 2019",Nemiah Ladd,17,NA,NA,"Beyzi, E., Gunes, A., Beyzi, S. B., & Konca, Y. (2019). Changes in fatty acid and mineral composition of rapeseed (Brassica napus ssp. oleifera L.) oil with seed sizes. Industrial Crops and Products, 129, 10-14.",,NA,Rapeseed,0.78,0.28,9.56,4242
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,6,0,7,2199
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,9,1,8,2200
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,10,1,6,2201
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,10,1,5,2202
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,7,0,6,2203
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,8,1,6,2204
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,9,1,5,2205
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,10,1,5,2206
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,7,0,6,2207
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,11,1,6,2208
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,11,1,6,2209
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,10,1,6,2210
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,9,0,5,2211
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,8,0,5,2212
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,11,1,6,2213
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,8,1,6,2214
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,8,0,6,2215
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,11,1,7,2216
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,11,1,6,2217
Marine,NA,Phytoplankton,Producer,NA,Isochrysis_galbana,Isochrysis,galbana,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,9,1,6,2218
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,3,21,2,2231
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,27,2,2232
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,35,2,2233
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,35,1,2234
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,27,2,2235
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,31,2,2236
Marine,NA,Phytoplankton,Producer,NA,Phaeodactylum_tricornutum,Phaeodactylum,tricornutum,NA,NA,NA,NA,Bi et al 2014,Lily,2,24_06_20,Columbo et al 2017,"Bi, R., Arndt, C., & Sommer, U. (2014). Linking elements to biochemicals: effects of nutrient supply ratios and growth rates on fatty acid composition of phytoplankton species. Journal of Phycology, 50(1), 117-130.",,NA,NA,2,32,2,2237
